listing_id,name,room_type_model,property_type,neighbourhood_model,capacity_bucket,actual_price,oof_predicted_price,price_gap_dollars,oof_percent_above_expected,residual_signal_score,cluster_anomaly_score,demand_proxy_score,final_overpricing_score,candidate_label,price_gap_label,availability_rate,reviews_last_365_days,cluster
1686647652004411820,Cozy home in NW Austin,Entire home/apt,Entire home,78750,7+ guests,2464.58,294.8424206694812,2169.7375793305187,735.8973564264681,99.95210166177908,96.6715542521994,93.60508308895406,98.1799120234604,strong candidate,100%+ above expected,1.0,0.0,1
1270139225068079799,Spacious Clean Safe 1 Bedroom 9mins from COTA,Entire home/apt,Entire rental unit,78744,3-4 guests,799.0,151.64521060042642,647.3547893995735,426.8877248654454,99.77053354247651,95.21016617790812,93.60508308895406,97.70562413330605,strong candidate,100%+ above expected,1.0,0.0,1
1324915536546818363,Charming Home,Private room,Private room in condo,78701,3-4 guests,916.0,482.0412058797073,433.9587941202927,90.0252486358161,97.84627798757565,97.45356793743892,93.60508308895406,97.11192124024824,strong candidate,50%+ above expected,1.0,0.0,5
1556173232192810817,Beautiful Yacht,Entire home/apt,Boat,78734,3-4 guests,942.0,277.56031663742834,664.4396833625717,239.38569151818496,99.77321603128055,96.78885630498532,86.76050830889541,97.07521994134898,strong candidate,100%+ above expected,1.0,1.0,3
822081454862882995,Casa de Sito,Entire home/apt,Entire home,78724,7+ guests,243.44,115.9571553350606,127.48284466493939,109.93961027810238,99.09677419354838,98.32355816226784,84.45552297165202,96.70728250244379,strong candidate,100%+ above expected,0.9643835616438357,0.0,3
842066613080484785,Luxury condo on Rainey Street,Entire home/apt,Entire condo,78701,5-6 guests,65.08,27.420128155616872,37.659871844383126,137.34389434889894,98.44015235783868,94.28152492668622,93.60508308895406,96.67523510971787,strong candidate,100%+ above expected,1.0,0.0,1
1404349270335192843,"4 Mi to Dtwn Austin: WFH-Friendly Gem, Pool Access",Entire home/apt,Entire condo,78741,3-4 guests,279.65,96.57013953736384,183.07986046263613,189.5822677068836,98.92834051240943,98.1622678396872,82.21114369501467,96.22924282161965,strong candidate,100%+ above expected,0.9972602739726028,2.0,5
994197871776868819,Cottage and Modern Guesthouse Central Austin,Entire home/apt,Entire home,78703,5-6 guests,444.84,217.2200258452595,227.61997415474048,104.78774839889282,97.75092636381784,98.88074291300096,85.38514173998045,96.17851280753801,strong candidate,100%+ above expected,0.96986301369863,0.0,1
2189688,Modern loft in the heart of E 6th,Entire home/apt,Entire condo,78702,3-4 guests,563.67,334.5354376697225,229.13456233027745,68.49336020314105,96.3132055562852,98.20136852394916,90.33822091886609,95.88899860258832,strong candidate,50%+ above expected,0.9917808219178084,0.0,3
1111484069177681250,2 BD Condo Downtown Wynd. Austin,Private room,Room in hotel,78701,5-6 guests,1273.33,481.6438359703101,791.6861640296898,164.3717006021212,99.57771260997067,90.39100684261976,89.27077223851418,95.73499511241447,strong candidate,100%+ above expected,0.9863013698630136,0.0,3
